(1309, 9159)
(1310, 9160)
(13240, 9454)
(13240, 19162)
(24146, 14183)
(24147, 14184)
(24148, 14185)
(24897, 1631)
(24897, 2717)
(24897, 2802)
(24898, 1632)
(24898, 2718)
(24899, 1633)
(24900, 1634)
(26932, 1631)
(26932, 2717)
(26932, 2802)
(27846, 16705)
(27847, 16706)
(27848, 16707)
(31402, 12530)
(33038, 6861)
(33038, 13472)
(33039, 6862)
(33040, 6863)
(34409, 1630)
(34410, 1631)
(34410, 2717)
(34410, 2802)
(34411, 2803)
(34467, 2201)
(35473, 14183)
(35474, 14184)
(35475, 14185)
(35476, 14186)
(48804, 333)
(48804, 3878)
(48804, 19714)
(48805, 3879)
(48805, 19715)
(49746, 10853)
(51790, 3217)
(51790, 8334)
(52533, 11850)
(52533, 19321)
(54381, 13704)
(57067, 3217)
(57067, 8334)
(57068, 3218)
(63864, 20787)
(63865, 5540)
(63865, 20788)
(71240, 3217)
(71240, 8334)
(75115, 7700)
(75329, 2201)
(75838, 9454)
(75838, 19162)
(77952, 3786)
(80688, 10853)
(81322, 14266)
(81323, 14267)
(83457, 4206)
(83458, 4207)
(83459, 4208)
(83459, 12918)
(83460, 12919)
(86837, 9159)
(86838, 9160)
(88598, 87)
(88599, 88)
(89890, 2671)
(89891, 2672)
(90940, 2044)
(97406, 1483)
(97406, 7855)
(97407, 7856)
(97408, 7857)
(97409, 7858)
(98687, 2201)
(99828, 14265)
(99829, 14266)
(101051, 4279)
(104837, 13471)
(104838, 6861)
(104838, 13472)
(107398, 2044)
(109504, 18031)
(112902, 333)
(112902, 3878)
(112902, 19714)
(112903, 3879)
(112903, 19715)
(114991, 2551)
(114991, 14963)
(115849, 88)
(116296, 2551)
(116296, 14963)
(116297, 14964)
(116298, 14965)
(116299, 14966)
(116876, 16704)
(116877, 16705)
(131798, 4279)
(140229, 5540)
(140229, 20788)
(142189, 20786)
(142190, 20787)
(142191, 5540)
(142191, 20788)
(147273, 11850)
(147273, 19321)
(149757, 13704)
(155291, 16705)
(160498, 212)
(160499, 213)
(160500, 214)
(160501, 215)
(166753, 7700)
(173798, 12917)
(173799, 4208)
(173799, 12918)
(173800, 4209)
(174426, 10853)
(174427, 10854)
(180206, 2550)
(180207, 2551)
(180207, 14963)
(180208, 14964)
(180209, 14965)
(181043, 11850)
(181043, 19321)
(181188, 2671)
(181189, 2672)
(184392, 161)
(184393, 162)
(188093, 14184)
(190033, 1483)
(190033, 7855)
(190034, 1484)
(190035, 1485)
(194439, 13704)
(197661, 9454)
(197661, 19162)
(199363, 333)
(199363, 3878)
(199363, 19714)
(199992, 4279)
(6688, 6412)
(6689, 1555)
(6689, 6411)
(6689, 10094)
(6690, 1554)
(6690, 10093)
(13240, 14601)
(13241, 14600)
(13242, 14599)
(13243, 14598)
(19590, 2893)
(19590, 18681)
(22447, 998)
(22448, 997)
(22448, 3712)
(22449, 996)
(22449, 3711)
(24147, 11613)
(24147, 16553)
(27845, 9564)
(27846, 7403)
(27846, 9563)
(34075, 2628)
(34075, 12413)
(34467, 1215)
(34467, 20740)
(35474, 11613)
(35474, 16553)
(38204, 7906)
(38205, 7905)
(39916, 3545)
(39917, 3544)
(39918, 3543)
(39918, 10794)
(39919, 10793)
(42052, 3544)
(42053, 3543)
(42053, 10794)
(49745, 5068)
(49746, 5067)
(49746, 11969)
(51790, 4639)
(52533, 19842)
(52534, 19841)
(52535, 19840)
(54381, 11756)
(54381, 15618)
(54546, 7934)
(54547, 2085)
(54547, 7933)
